Year,Team cat,place,Name,Nameabb,Point
2013,USMS Club,7,Adirondack Masters,ADMS-AD,380.5
2013,USMS Club,8,MOVY Masters,MOVY-MV,264
2013,USMS Club,9,Atlanta Water Jocks,AWJ-GA,113
2013,USMS Club,10,UCLA Bruin Masters,UCLA-SP,102
2013,USMS Club,11,Northeastern University,NUSC-NE,95
2013,USMS Club,12,Tribeach,TBH-CT,59
2013,USMS Club,13,Long Island Express Masters,LIEM-MR,44
2013,USMS Club,14,Wellesley Masters Swimming,WELL-NE,36
2013,USMS Club,15,Mako Masters,MMST-CT,34
2013,USMS Club,16,Greater Augusta Swimming,GAS-GA,25
2013,USMS Club,17,Simon's Rock Pace Makers,SRPM-NE,19
2013,USMS Club,18,Chelsea Piers Connecticut,CPCT-CT,17
2013,USMS Club,19,The Olympic Club,TOC-PC,15
2013,Large Team,1,Cambridge Masters Swim Club,CMSC-NE,5503
2013,Large Team,2,Swim Rhode Island,SWMR-NE,3366.5
2013,Large Team,3,Minuteman Andover Masters Asso,MAMA-NE,3192.5
2013,Large Team,4,Boston University Masters,BUMS-NE,1708
2013,Large Team,5,YMCA of the North Shore,YNS-NE,1143.5
2013,Medium Team,1,South County YMCA,SCY-NE,2824.5
2013,Medium Team,2,Greenwood Masters,GWDM-NE,2796
2013,Medium Team,3,Worcester Area Masters,WAM-NE,1731.5
2013,Medium Team,4,Granite State Penguins,GSP-NE,1479
2013,Medium Team,5,ABC Masters - Gray Sharks,ABC-NE,1126.5
2013,Medium Team,6,MIT Masters,MIT-NE,868
2013,Medium Team,7,Liquid Assets New England Swim,LANE-NE,841.5
2013,Medium Team,8,North Suburban YMCA Masters,NSY-NE,648
2013,Medium Team,9,University Club of Boston,UCLB-NE,598.5
2013,Small Team,1,Nutmeg Masters,NMEG-NE,918
2013,Small Team,2,Cape Cod Masters,CCM-NE,793
2013,Small Team,3,Pittsfield YMCA Polar Bears,PITY-NE,653
2013,Small Team,4,Technique and Training,TNT-NE,634
2013,Small Team,5,Weymouth Club Masters Swimming,WCMS-NE,607
2013,Small Team,6,Simmons Masters,SIMM-NE,432
2013,Small Team,7,Western Mass Waterhorses,WMW-NE,279.5
2013,Small Team,8,Boston College Masters,BC-NE,256
2013,Small Team,9,Boston Sports Club Healthpoint,BSCH-NE,214
2013,Small Team,10,Martha's Vineyard Masters,MVM-NE,163
2013,Small Team,11,Greater Boston YMCA Masters,BOSY-NE,146
2013,Squad,1,Smith College,SMTH-NE,219
2013,Squad,2,UMASS Aquatic Masters,UMAS-NE,130
2013,Squad,3,Tri YMCA,TRIY-NE,113
2013,Squad,4,Adirondack Aquatic Club Master,AAC-NE,107
2013,Squad,5,Lowell YMCA,LOWY-NE,95
2013,Squad,6,Hockomock Masters,HOCK-NE,86
2013,Squad,7,Southern Vermont Stingrays,SVTS-NE,57
2013,Squad,8,Kingsbury Club Masters,KING-NE,55
2013,Squad,9,Keene Swim Masters,KEEN-NE,53
2013,Squad,10,Boston Sports Club Wellesley,BSCW-NE,46
2013,Squad,11,Wayland Community Pool Masters,WCPM-NE,43
2013,Squad,12,Swim Free or Dive,SFOD-NE,38
2013,Squad,13,JCC Newton Masters,JCCN-NE,19
2013,Squad,14,MetroWest Masters,MWYT-NE,17
2013,Squad,15,West Suburban YMCA Masters,WSY-NE,8
2013,Squad,16,Oak Square YMCA Masters,OAKY-NE,7
2013,Squad,17,Whitin Community Center,WCC-NE,5
2011,USMS Club,1,Maine Masters Swim Club,MESC-NE,6663
2011,USMS Club,2,Bearcat Masters,BCTM-MR,2604
2011,USMS Club,3,Great Bay Masters,GBM-NE,2309.5
2011,USMS Club,4,Westchester Masters,WM-MR,1181.5
2011,USMS Club,5,FISH Masters,FISH-MR,917.5
2011,USMS Club,6,Connecticut Masters,CONN-CT,397
2011,USMS Club,7,Virginia Masters Swim Team,VMST-VA,358.5
2011,USMS Club,8,Asphalt Green Masters,AGUA-MR,355
2011,USMS Club,9,West Side Swim Club,WSSC-NE,285
2011,USMS Club,10,Adirondack Masters,ADMS-AD,211
2011,USMS Club,11,MOVY Masters,MOVY-MV,167
2011,USMS Club,12,Garden State Masters,GSM-NJ,132
2011,USMS Club,13,Atlanta Water Jocks,AWJ-GA,115
2011,USMS Club,14,Mako Masters,MMST-CT,108
2011,USMS Club,15,Tribeach,TBH-CT,105
2011,USMS Club,16,Tampa Metro Masters,TMM-FL,77
2011,USMS Club,17,Alexandria Masters Swimming,ALEX-PV,38
2011,USMS Club,18,Pacific Northwest Aquatics,PNA-PN,25
2011,USMS Club,19,Huntington Masters,HUMS-MR,24
2011,USMS Club,20,District of Columbia Aquatics,DCAC-PV,15
2011,USMS Club,21,Illinois Masters,IM-IL,10
2011,USMS Club,22,Montana Masters,MM-MT,5
2011,Large Team,1,Minuteman Andover Masters Asso,MAMA-NE,4527
2011,Large Team,2,Cambridge Masters Swim Club,CMSC-NE,4409.5
2011,Large Team,3,YMCA of the North Shore,YNS-NE,2299
2011,Large Team,4,Swim Rhode Island,SWMR-NE,1879
2011,Large Team,5,Liquid Assets New England Swim,LANE-NE,1574.5
2011,Large Team,6,Boston University Masters,BUMS-NE,1437
2011,Large Team,7,ABC Masters - Gray Sharks,ABC-NE,1373
2011,Medium Team,1,South County YMCA,SCY-NE,2540
2011,Medium Team,2,Granite State Penguins,GSP-NE,1820.5
2011,Medium Team,3,Greenwood Masters,GWDM-NE,1252
2011,Medium Team,4,Cape Cod Masters,CCM-NE,1017
2011,Medium Team,5,MIT Masters,MIT-NE,909.5
2011,Medium Team,6,University Club of Boston,UCLB-NE,744
2011,Small Team,1,Technique and Training,TNT-NE,904
2011,Small Team,2,Adirondack Aquatic Club Master,AAC-NE,836.5
2011,Small Team,3,Boston College Masters,BC-NE,529.5
2011,Small Team,4,Western Mass Waterhorses,WMW-NE,389
